iter	Passed	Remaining
0	405	404857
1	1228	613062
2	2006	666725
3	2824	703302
4	3640	724544
5	4459	738840
6	5276	748549
7	6146	762159
8	6942	764496
9	7757	768014
10	7788	700284
11	8630	710564
12	9445	717119
13	10242	721391
14	11053	725842
15	11886	730994
16	12676	732995
17	13510	737064
18	14349	740876
19	14770	723771
20	15602	727384
21	15646	695545
22	16468	699567
23	16514	671579
24	17344	676441
25	18181	681102
26	19003	684817
27	19045	661157
28	19089	639166
29	19920	644084
30	19989	624817
31	20900	632227
32	21770	637940
33	22188	630405
34	22411	617930
35	23225	621920
36	23652	615595
37	24466	619377
38	25280	622926
39	26105	626523
40	26173	612215
41	26991	615662
42	27408	610002
43	27845	605005
44	28677	608590
45	29495	611705
46	29705	602317
47	29749	590039
48	30575	593422
49	31417	596935
50	32251	600134
51	32475	592051
52	32895	587775
53	33734	590985
54	34541	593482
55	34959	589324
56	34974	578606
57	35100	570077
58	35949	573358
59	36790	576380
60	37634	579329
61	38480	582174
62	38499	572602
63	38522	563397
64	39386	566560
65	40339	570866
66	40819	568420
67	40894	560488
68	41127	554924
69	42015	558200
70	42030	549941
71	42853	552336
72	43690	554804
73	43706	546924
74	44522	549106
75	45353	551406
76	45365	543792
77	45381	536435
78	45400	529289
79	46226	531608
80	47068	534024
81	47099	527279
82	47896	529167
83	47966	523065
84	48802	525342
85	49630	527465
86	49675	521312
87	50486	523221
88	51312	525236
89	52118	526976
90	52332	522748
91	52350	516673
92	53170	518558
93	53985	520326
94	54004	514466
95	54848	516488
96	54890	510994
97	55708	512749
98	56517	514367
99	57334	516013
100	58149	517584
101	58973	519197
102	59775	520570
103	60579	521914
104	61004	519990
105	61252	516597
106	61271	511358
107	62121	513078
108	62167	508178
109	63120	510701
110	64027	512799
111	64043	507777
112	65007	510279
113	65975	512757
114	66049	508291
115	66945	510172
116	67799	511683
117	67819	506924
